127.0.0.1 - - [15/Apr/2025:11:05:52 +0900] "GET / HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET / HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/js/replylist.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/js/daum.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/js/video.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/ckeditor/ckeditor.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /resources/motion/donut.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:11:05:54 +0900] "GET /favicon.ico HTTP/1.1" 404 721
